,0
0,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_fact-erasure_bb_img_attack_parap_orig_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlFalse_elFalse.csv', 0.3528399311531842, 0.07280550774526678, 0.8709122203098106, 0.31153184165232356, 0.5853700516351119, 0.7350435135719129, 0.6, 0.7410307898259706, 0.014629948364888108, 0.005987276254057665, 0.9439301688070281, 0.9872897448946011, 0.8078462696060162]"
1,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_fact-erasure_jailbreak_img_attack_parap_orig_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlFalse_elFalse.csv', 0.4629948364888124, 0.14948364888123924, 0.9122203098106713, 0.4352839931153184, 0.5853700516351119, 0.7350435135719129, 0.6, 0.7410307898259706, 0.014629948364888108, 0.005987276254057665, 0.9439301688070281, 0.9872897448946011, 0.8078462696060162]"
2,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_fact-erasure_mg_img_attack_parap_orig_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlFalse_elFalse.csv', 0.36660929432013767, 0.08602983362019506, 0.8347676419965576, 0.329776247848537, 0.5853700516351119, 0.7350435135719129, 0.6, 0.7410307898259706, 0.014629948364888108, 0.005987276254057665, 0.9439301688070281, 0.9872897448946011, 0.8078462696060162]"
3,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_fact-erasure_entropy_layers_bb_img_attack_parap_orig[22, 32]_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlFalse_elTrue.csv', 0.2943201376936317, 0.04827882960413081, 0.8296041308089501, 0.31437177280550777, 0.46110154905335626, 0.7098645043997884, 0.5996557659208261, 0.7410307898259706, 0.13855421686746983, 0.031166285426182154, 0.8506429052474774, 0.9771018912970995, 0.7828943434798128]"
4,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_fact-erasure_entropy_layers_mg_img_attack_parap_orig[22, 32]_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlFalse_elTrue.csv', 0.29259896729776247, 0.057687894434882384, 0.8382099827882961, 0.3409638554216867, 0.46110154905335626, 0.7098645043997884, 0.600172117039587, 0.7410307898259706, 0.13907056798623058, 0.031166285426182154, 0.8506429052474774, 0.9771018912970995, 0.7828943434798128]"
5,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_fact-erasure_entropy_layers_jailbreak_img_attack_parap_orig[22, 32]_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlFalse_elTrue.csv', 0.40619621342512907, 0.10387263339070568, 0.8898450946643718, 0.4410499139414802, 0.4605851979345955, 0.7098645043997884, 0.5994836488812392, 0.7410307898259706, 0.13889845094664366, 0.031166285426182154, 0.8506429052474774, 0.9771018912970995, 0.7828943434798128]"
6,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_fact-erasure_margin_layers_bb_img_attack_parap_orig[22, 32]_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlTrue_elFalse.csv', 0.06884681583476764, 0.01566265060240964, 0.8605851979345955, 0.31738382099827883, 0.46970740103270225, 0.7050804951407361, 0.6, 0.7410307898259706, 0.1302925989672977, 0.03595029468523444, 0.9959412271314123, 0.9747274018890384, 0.953121633024064]"
7,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_fact-erasure_margin_layers_mg_img_attack_parap_orig[22, 32]_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlTrue_elFalse.csv', 0.07228915662650602, 0.019563970166379806, 0.8502581755593803, 0.3363166953528399, 0.470223752151463, 0.7050804951407361, 0.6003442340791738, 0.7410307898259706, 0.13012048192771078, 0.03595029468523444, 0.9959412271314123, 0.9747274018890384, 0.953121633024064]"
8,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_fact-erasure_margin_layers_jailbreak_img_attack_parap_orig[22, 32]_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlTrue_elFalse.csv', 0.14629948364888123, 0.029432013769363167, 0.9036144578313253, 0.4475903614457831, 0.46987951807228917, 0.7050804951407361, 0.600172117039587, 0.7410307898259706, 0.1302925989672977, 0.03595029468523444, 0.9959412271314123, 0.9747274018890384, 0.953121633024064]"
9,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_erro_inj_jailbreak_img_attack_parap_orig_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlFalse_elFalse.csv', 0.4750430292598967, 0.17056798623063682, 0.9053356282271945, 0.43950086058519794, 0.47624784853700514, 0.7150122444012289, 0.600172117039587, 0.7410307898259706, 0.12392426850258169, 0.026018545424741635, 0.8967178002913889, 0.7582102246524405, 0.784754066053143]"
10,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_erro_inj_bb_img_attack_parap_orig_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlFalse_elFalse.csv', 0.4010327022375215, 0.09853700516351119, 0.8450946643717728, 0.3070567986230637, 0.4759036144578313, 0.7150122444012289, 0.5996557659208261, 0.7410307898259706, 0.12375215146299477, 0.026018545424741635, 0.8967178002913889, 0.7582102246524405, 0.784754066053143]"
11,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_erro_inj_mg_img_attack_parap_orig_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlFalse_elFalse.csv', 0.37005163511187605, 0.09873780837636259, 0.8141135972461274, 0.33861158921399886, 0.476592082616179, 0.7150122444012289, 0.6003442340791738, 0.7410307898259706, 0.12375215146299477, 0.026018545424741635, 0.8967178002913889, 0.7582102246524405, 0.784754066053143]"
12,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_dummy_mg_img_attack_parap_orig_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlFalse_elFalse.csv', 0.19793459552495696, 0.02650602409638554, 0.8450946643717728, 0.3297475616752725, 0.463855421686747, 0.6717554820394751, 0.5994836488812392, 0.7410307898259706, 0.1356282271944922, 0.06927530778649539, 0.22448437714000577, 0.990016689074319, 0.1367414396788849]"
13,"['llava-v1.5-7b_FT_outputs_zsre_editing_sweep_ws-[1]_layer-7_dummy_bb_img_attack_parap_orig_n600_top-4_lowrank-False_parap_image_lfteditTrue_cfteditFalse_mlFalse_elFalse.csv', 0.1962134251290878, 0.020051635111876076, 0.8571428571428571, 0.31566265060240967, 0.46454388984509465, 0.6717554820394751, 0.6, 0.7410307898259706, 0.13545611015490527, 0.06927530778649539, 0.22448437714000577, 0.990016689074319, 0.1367414396788849]"
